path,checksum_db_a,checksum_db_b,checksum_db_c,library_db_a,zone_db_a,library_db_b,zone_db_b
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2005) Take Ecstasy With Me ∕ Get Up/!!! - (2005) Take Ecstasy With Me ∕ Get Up - 01. Take Ecstasy With Me.flac,ba6342466ef1adf883024d438e57365ab2366ad200685897e3ddfd54d7379cee,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2007) Myth Takes/!!! - (2007) Myth Takes - 09. Break in Case of Anything.flac,55b5b2e28480ea52de14334ff5bbb4be9d4b66f1873e5f140cb87c7f31c6f386,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2013) R!M!X!S/!!! - (2013) R!M!X!S - 02. One Girl∕One Boy (Maurice Fulton remix).flac,029bca14df5b8e33fbb657a04a6e318d97c3c4ffe3cc64f4a6d18a6c4797aacf,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2015) As If/!!! - (2015) As If - 01. All U Writers.flac,8f671739283c033fdb9dddb073b96a28a1fa7a4ded9999f496b95da5e56b209e,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2015) As If/!!! - (2015) As If - 02. Sick Ass Moon.flac,90b70b34358d7d16a5a523000abece1e54b60b8762aad359f1e8050b0c23cc09,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2015) As If/!!! - (2015) As If - 03. Every Little Bit Counts.flac,3fec28f4da1b88f663796a3f3f3fb062674fc672b42ee057c3706484255af14e,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2015) As If/!!! - (2015) As If - 04. Freedom! '15.flac,1d5d6879a74f3fc442a218268e52e8c20f26d5af305ad0e30a2aad4cd83bedc0,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2015) As If/!!! - (2015) As If - 05. Ooo.flac,4be63e7367d0560505c5a3c0e35299b380dd0a8a84657ddb5f84688079ee51b1,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2015) As If/!!! - (2015) As If - 06. All the Way.flac,ef83190b3c88cbd9bb8ee9b561d11345ddcb01aac10d9069bc485fce66fcbfdb,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2015) As If/!!! - (2015) As If - 08. Bam City.flac,64213612458f856fb78ec6ca5d23c96a50bc053737f388bcd8fd824812780263,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2017) Shake the Shudder/!!! - (2017) Shake the Shudder - 03. Dancing Is the Best Revenge.flac,f944c67c7f0a5b06cc228d9c83e76d8704755366b3e2bb1c572b275afe4a4e47,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2020) I'm Sick of This∕So We Can Fuck/!!! - (2020) I'm Sick of This∕So We Can Fuck - 02. So We Can Fuck.flac,348be15365a30d12a773a75eb385734b2cf1ef2f6227785f2d343dd6ca720fe8,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2021) Fast Car ∕ Man on the Moon/!!! - (2021) Fast Car ∕ Man on the Moon - 01. Fast Car.flac,fc932bb733af174d646e645c5d01678b0c0678e2846336e6904426b094ac8201,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2021) Fast Car ∕ Man on the Moon/!!! - (2021) Fast Car ∕ Man on the Moon - 02. Man on the Moon.flac,888f8d306113a6944fcaf4af898eef73441ebfc62a453f4b465271d63f0a01df,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 02. A Little Bit (More).flac,ca42bcd627cf4c3acfd08f654580aa308781d83afcdfbcf4c25735d0635f0dec,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 03. Storm Around the World.flac,4be91c0308d5b153c47f80416cd16369712ac9cf1a8344022dd6f865ddd81ad2,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 04. Un Puente.flac,f534695cd85ec091f07e9fcdd60bfda37d9b090aab8b5d1a09fc389277003255,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 05. Here's What I Need to Know.flac,6d926e14f49f40f6899dc83384f6ca9600cae99aa5631839528fbcc5e956effd,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 06. Panama Canal.flac,b57c1094d554cc23357ab5f0e893747a7968a5fe5e95003116146ac623a80c26,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 08. Let It Be Blue.flac,bc34fbc98c18c5a637e6b89bf76d09a7d53d659858022bae8dbda1422665b381,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 10. Crazy Talk.flac,6a8f1121d6e6accda6712a0ee6a51888f2b7a589a3b1da5f05b7d05e74957fd6,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 11. This Is Pop 2.flac,dbf24592ece6360300970ab8549dc120f12f5d14a2478f283969f3909d0713e0,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/1999 WRITE THE FUTURE/(2024) hella (˃̣̣̥╭╮˂̣̣̥) ✧ ♡ ‧o· ̊/1999 WRITE THE FUTURE - (2024) hella (˃̣̣̥╭╮˂̣̣̥) ✧ ♡ ‧o· ̊ - 16. a LEAp in tIME.flac,24403969f9405161686785a71fa624df6869a9509ce3a783401c243bf36138cd,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/40 Thieves feat. Qzen/(2010) Don't Turn It Off Remixes/40 Thieves feat. Qzen - (2010) Don't Turn It Off Remixes - 01. Don't Turn It Off.flac,4728a05bf7d0bbca664935f1517569831fd7b51260d7241c8b0e76fec6c48298,NOT_SCANNED,NOT_SCANNED,recovery,accepted,recovery,accepted
