path,library,zone,integrity_state,checksum
"/Volumes/bad/FINAL_LIBRARY/G_DUPEGURU/MUSIC/Quarantine/D/[Unknown Artist]/(XXXX) [Unknown Album]/X - (XXXX) [Unknown Album] - 00. (15).flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/FINAL_LIBRARY/G_DUPEGURU/MUSIC/Quarantine/D/[Unknown Artist]/(XXXX) [Unknown Album]/X - (XXXX) [Unknown Album] - 00. (17).flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/FINAL_LIBRARY/G_DUPEGURU/MUSIC/Quarantine/D/[Unknown Artist]/(XXXX) [Unknown Album]/X - (XXXX) [Unknown Album] - 00. (18).flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/FINAL_LIBRARY/G_DUPEGURU/MUSIC/Quarantine/D/[Unknown Artist]/(XXXX) [Unknown Album]/X - (XXXX) [Unknown Album] - 00. (19).flac",bad,suspect,corrupt,NOT_SCANNED
/Volumes/bad/FINAL_LIBRARY/G_DUPEGURU/QUARANTINE_AUTO_GLOBAL/Volumes/sad/MUSIC/_quarantine_bad_flacs/0080556.flac,bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/FINAL_LIBRARY/G_DUPEGURU/QUARANTINE_AUTO_GLOBAL/Volumes/sad/MUSIC/_quarantine_bad_flacs/CAKE - (2004) Pressure Chief - 06. The Guitar Man.flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/FINAL_LIBRARY/G_DUPEGURU/QUARANTINE_AUTO_GLOBAL/Volumes/sad/MUSIC/_quarantine_bad_flacs/Cannonball Adderley - (2021) Somethin' Else - 01. Autumn Leaves.flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/FINAL_LIBRARY/MUSIC/Quarantine/Dupeguru/D/Dominic Fike/(2018) Don't Forget About Me, Demos EP/Dominic Fike - (2018) Don't Forget About Me, Demos EP - 01. 3 Nights.flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/FINAL_LIBRARY/Unknown Artist/XXXX Unknown Album/X - XXXX Unknown Album - 00. Unknown Title.flac",bad,suspect,corrupt,NOT_SCANNED
/Volumes/bad/_ALL_FLACS_FLAT/0080556.flac,bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/_ALL_FLACS_FLAT/CAKE - (2004) Pressure Chief - 06. The Guitar Man.flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/_ALL_FLACS_FLAT/Cannonball Adderley - (2021) Somethin' Else - 01. Autumn Leaves.flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/_ALL_FLACS_FLAT/X - (XXXX) [Unknown Album] - 00. (15).flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/_ALL_FLACS_FLAT/X - (XXXX) [Unknown Album] - 00. (17).flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/_ALL_FLACS_FLAT/X - (XXXX) [Unknown Album] - 00. (18).flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/_ALL_FLACS_FLAT/X - (XXXX) [Unknown Album] - 00. (19).flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/bad/_ALL_FLACS_FLAT/X - XXXX Unknown Album - 00. Unknown Title.flac",bad,suspect,corrupt,NOT_SCANNED
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/ANOHNI and the Johnsons/(2005) I Am A Bird Now/ANOHNI and the Johnsons - (2005) I Am a Bird Now - 07. Fistful of Love.flac",recovery,,,db992f4405209e7207826a9827fa01e077ba15893e7931995ae976067d0a8fdf
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/ATB/(1999) Movin' Melodies/ATB - (1999) Movin' Melodies - 15. 9 PM (Till I Come) (Signum remix).flac",recovery,,,c4da6fcd6d74a52dce2ddcbb6daf57845b525b0613f54a950a3f47246f1f0b85
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/AURORA/(2024) What Happened to the Heart?/AURORA - (2024) What Happened to the Heart? - 03. Your Blood.flac",recovery,,,ec07cb91b663941a403705303c90f1b384a61208368ea66ecb39e0967a297ce1
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(1998) Supposed Former Infatuation Junkie/Alanis Morissette - (1998) Supposed Former Infatuation Junkie - 09. UR.flac",recovery,,,5e0fc9bb759005fbb43191ac690890057969dc5fe530e41f8e1bcbaf2272fe3c
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(1998) Supposed Former Infatuation Junkie/Alanis Morissette - (1998) Supposed Former Infatuation Junkie - 11. One.flac",recovery,,,30f0bb1fb2496e26667eb4a0cfbcc91cee0167cd220fb40faeaec32590e3c593
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(1998) Supposed Former Infatuation Junkie/Alanis Morissette - (1998) Supposed Former Infatuation Junkie - 12. Would Not Come.flac",recovery,,,ec7819eafeeedc7a996cc8ca543a4d2a8e2010205db1c6057580b6fda14404a6
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(1998) Supposed Former Infatuation Junkie/Alanis Morissette - (1998) Supposed Former Infatuation Junkie - 13. Unsent.flac",recovery,,,e738cad84674223dd9f18c89c4ca6cfd513cbdb75293dce92d4d3d6f8ed887d6
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(1998) Supposed Former Infatuation Junkie/Alanis Morissette - (1998) Supposed Former Infatuation Junkie - 14. So Pure.flac",recovery,,,755b4e8dfe48ddced06d37da2903d9dbc2d558c1251f5bc52eb7131724e15c4c
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2008) Feast on Scraps/Alanis Morissette - (2008) Feast on Scraps - 02. Bent for You.flac",recovery,,,7a316a6ad06e1482f33e31cab5913d243243093eeb5ffa31fb3aa62130078806
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 11. Head Over Feet.flac",recovery,,,6161e7b6cf19867a894ff84c02d0ece5f3f8c5158967179d088532829ac2a9ab
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 14. The Bottom Line.flac",recovery,,,b56f986c4dda5e9694ddf1c49f6a13e12d652a8a4c4360612f432c078daa7fa5
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 15. Superstar Wonderful Weirdos.flac",recovery,,,b3711dd8507e175ebd57cc226fb8aa16dfe9e001f6df3103fe61f15822a2c23e
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 16. Closer Than You Might Believe.flac",recovery,,,899691cce2486fbc2222c4a57bccaeea93d86319126319a2bdc73245e8258bdf
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 19. Gorgeous.flac",recovery,,,e9ca833688bda56c1a54ff69de452a7a7ad4a16e6f8e1772d32a09a896afb88c
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 20. King of Intimidation.flac",recovery,,,f87ca20db362681b5d9801234b1a4ad9b0370d013a2cfd955372ba45cfb9ea0f
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 23. These Are the Thoughts.flac",recovery,,,fb47b00bf185a8f698ac7a32a4a7024daebc4f07ce58b5dec62381310f0725a9
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 32. Mary Jane (acoustic version).flac",recovery,,,c87289d87657f93bd90fdb0d30844e18b30735bb10b786544d8affc2956aee8e
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alex Coollook/(2015) Cavo/Alex Coollook - (2015) Cavo - 01. Cavo.flac",recovery,,,9624535652a34292172d3ad02e248f96a969ab5944c48ce1b95de95fd2deff56
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alex Coollook/(2015) Cavo/Alex Coollook - (2015) Cavo - 02. Cavo (Nickolas & Gee Spice remix).flac",recovery,,,0362ee205a59c6b644d10bc62e2ff0776755c98a890df038dfd19ce957e72c1e
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alison Goldfrapp/(2025) Flux/Alison Goldfrapp - (2025) Flux - 02. Sound & Light.flac",recovery,,,175f39d3544abe45cacb349939fc1010ea4a3e744a78eb03cde86199adf19792
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alison Goldfrapp/(2025) Flux/Alison Goldfrapp - (2025) Flux - 06. Play It (Shine Like a Nova Star).flac",recovery,,,8520fbffade99321f239e5fa5df681f83bb956abc42e6e91ba1633ea6f8523ac
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Alison Goldfrapp/(2025) Flux/Alison Goldfrapp - (2025) Flux - 07. Find Xanadu.flac",recovery,,,1bb0b371f784750db932e3fa415ae7ffd9823acaa857e8374abd7c758d390e62
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Andre Crom ∕ Chris Carrier/(2011) Get Back to the Raw/Andre Crom ∕ Chris Carrier - (2011) Get Back to the Raw - 02. Calling.flac",recovery,,,c32db7fcf68bce24ac05a789f52657a8c7c7087c8ae4f1a854528a12e659a8bb
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Andre Crom ∕ Chris Carrier/(2011) Get Back to the Raw/Andre Crom ∕ Chris Carrier - (2011) Get Back to the Raw - 03. Tainted Rose.flac",recovery,,,5415c028116c0b6f08da027a9d250d3906961441dee987abe119fa842855a7a6
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Andre Crom ∕ Chris Carrier/(2011) Get Back to the Raw/Andre Crom ∕ Chris Carrier - (2011) Get Back to the Raw - 07. What We Do Today.flac",recovery,,,28182539c0af30fc67ba06e0478c13ae2ee1f86db9bbffc60ea5c1e6490ef2cb
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Andre Crom ∕ Chris Carrier/(2011) Get Back to the Raw/Andre Crom ∕ Chris Carrier - (2011) Get Back to the Raw - 08. Everywhere.flac",recovery,,,ddc1cbfb7f31202216d12ad4cb2c2b4442c201024566e63ef39311f48b919871
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Andrew Bird/(2024) Sunday Morning Put-On/Andrew Bird - (2024) Sunday Morning Put-On - 08. Softly, as in a Morning Sunrise.flac",recovery,,,4a8a4ec5523bce6dc5ab7f16a6d3a86152ac72ebd11b4b24d81cd5bac42f854c
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Anouar Brahem, Anja Lechner, Django Bates & Dave Holland/(2025) After the Last Sky/Anouar Brahem, Anja Lechner, Django Bates & Dave Holland - (2025) After the Last Sky - 01. Remembering Hind.flac",recovery,,,86e3bc9ef23e667ce0f4a9429b92d4c1a5b1ab57bccecedd61b6b473843f8739
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Anouar Brahem, Anja Lechner, Django Bates & Dave Holland/(2025) After the Last Sky/Anouar Brahem, Anja Lechner, Django Bates & Dave Holland - (2025) After the Last Sky - 04. The Eternal Olive Tree.flac",recovery,,,78f9dda9f40d0116aad0139407a1448e023a05093e479a4662a57e9be52f5e34
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Anouar Brahem, Anja Lechner, Django Bates & Dave Holland/(2025) After the Last Sky/Anouar Brahem, Anja Lechner, Django Bates & Dave Holland - (2025) After the Last Sky - 06. In the Shade of Your Eyes.flac",recovery,,,e6a2c1df8a4a411f72e1064b949d123fb4e0b09e8548f0d052d6fa9dd3fa4858
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Anouar Brahem, Anja Lechner, Django Bates & Dave Holland/(2025) After the Last Sky/Anouar Brahem, Anja Lechner, Django Bates & Dave Holland - (2025) After the Last Sky - 07. Dancing Under the Meteorites.flac",recovery,,,9e13f64352b82f13c003037e34f1d513cbe49148e894c44de95aa166365d5ec1
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Arctic Monkeys/(2006) Whatever People Say I Am, That's What I'm Not/Arctic Monkeys - (2006) Whatever People Say I Am, That's Wha__83e3fb49.flac",recovery,,,caa4e11635609075c3bfb456529818e41b6d6e39e92baa040444f295c97ee03f
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Arctic Monkeys/(2006) Whatever People Say I Am, That's What I'm Not/Arctic Monkeys - (2006) Whatever People Say I Am, That's What I'm Not - 01. The View From the Afternoon.flac",recovery,,,dfc44c04782eeee8444661edce2529b9caaa802b1a730bcdfd97251a88b11285
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Arctic Monkeys/(2006) Whatever People Say I Am, That's What I'm Not/Arctic Monkeys - (2006) Whatever People Say I Am, That's What I'm Not - 02. I Bet You Look Good on the Dancefloor.flac",recovery,,,7d414c381831ace2478d8fddf8d57eabff8be8cb7ccce2df894a53d57aadf87e
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Arctic Monkeys/(2006) Whatever People Say I Am, That's What I'm Not/Arctic Monkeys - (2006) Whatever People Say I Am, That's What I'm Not - 03. Fake Tales of San Francisco.flac",recovery,,,68dc6a3a2a7b73f55235618fea598fae538408579e10c6320b5a77b266b8f815
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Arctic Monkeys/(2006) Whatever People Say I Am, That's What I'm Not/Arctic Monkeys - (2006) Whatever People Say I Am, That's What I'm Not - 08. Red Light Indicates Doors Are Secured.flac",recovery,,,e8e9d322d8f42411a359d31ff611fe90ab127cd35042ee78b836984ac4613597
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Arctic Monkeys/(2006) Whatever People Say I Am, That's What I'm Not/Arctic Monkeys - (2006) Whatever People Say I Am, That's What I'm Not - 09. Mardy Bum.flac",recovery,,,52641e0072f8abddb402cebcbf56281e89e6fc321d2288320e7c07cfa15e9a58
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Arctic Monkeys/(2006) Whatever People Say I Am, That's What I'm Not/Arctic Monkeys - (2006) Whatever People Say I Am, That's What I'm Not - 10. Perhaps Vampires Is a Bit Strong But.flac",recovery,,,4eaf1306e129d3de9391c62ce7f7bfc95ea83e00dcc96bea731e5ed0580b8640
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/Aron Volta & Dj Steaw/(2022) Split EP1 - EP/Aron Volta & Dj Steaw - (2022) Split EP1 - EP - 04. Cosmic Dream.flac",recovery,,,edf32543266ace8d7e7d91edac466c411f350b26d7cb737405a716cfc1877f4a
"/Volumes/RECOVERY_TARGET/Root/FINAL_LIBRARY/BC Camplight/(2015) How To Die in the North/BC Camplight - (2015) How To Die in the North - 03. Just Because I Love You.flac",recovery,,,782a9e5ec9f4e2a3266e55820c68afdb0ac39c0341b0546c119dc482e9dc8ff8
