path,checksum,library,zone
"/Volumes/COMMUNE/_PROMOTION_STAGING/47SOUL - (2020) Semitics - 10. 47 Cocktail (1).flac",streaminfo:20677654499811127682332140361230523391,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/6th Borough Project - (2009) Miss World EP - 02. Miss World (Soultourist remix).flac",streaminfo:191301478852133951418756378403840718119,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/6th Borough Project - (2009) Miss World EP - 03. Miss World (OOFT! remix).flac",streaminfo:128034037435969602790634798583884865125,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/6th Borough Project - (2011) One Night in the Borough - 07. The Fool (1).flac",streaminfo:230217441875070101450060308275864127901,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/AKZENTH - (2022) Night - 01. Night.flac",streaminfo:312162766481420025826634124836981048113,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Average White Band - (2009) Most Sampled - 09. A Love of Your Own.flac",streaminfo:240082230173604731005536387311584645448,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/BC Camplight - (2025) A Sober Conversation - 01. The Tent.flac",streaminfo:101447235150389175252460129157965453127,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Black Coffee & David Guetta feat. Delilah Montagu - (2018) Drive (Remixes) - 05. Drive (Pablo Fierro remix).flac",streaminfo:97716791952732139370845757677585954325,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Blur - (1997) Blur - 01. Beetlebum.flac",streaminfo:278245449942804546693921461619804123748,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Bongomann - (2024) Fogworx - EP - 03. Fogworx.flac",streaminfo:172917417582720401479185804260520740824,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Charlotte de Witte - (2023) Power of Thought - 02. Pria (1).flac",streaminfo:335829711190910058875328311688048949704,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Chicken Lips - (2012) D.R.O.M.P. (single) - 07. D.R.O.M.P. (radio edit).flac",streaminfo:75275433725810915651505223593985273272,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Chicks on Speed - (2003) We Don't Play Guitars (single) - 02. We Don't Play Guitars (Cristian Vogel remix).flac",streaminfo:116388719500554328357122206563884147066,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Christian Smith - (2011) Pitanga - 02. Pitanga (Slam remix) (1).flac",streaminfo:300340595779692431759336243469128282658,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Cue - (1997) Burnin' - 02. Il fuoco (Italian edit).flac",streaminfo:260553933688399133579405112232721860180,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Disclosure - (2013) Settle (Special Edition) - 03-19. F for You (1).flac",streaminfo:27198180105164297688860353318291528176,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Disclosure - (2015) Caracal - 01. Nocturnal.flac",streaminfo:269638842714052838161149510056493139240,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Disclosure - (2020) Expressing What Matters - 01. Expressing What Matters.flac",streaminfo:113686645847198807107549558430359208117,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Discovery - (2009) LP - 01. Orange Shirt.flac",streaminfo:219805940107883614996104847279217529249,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Durante - (2017) Unraveled - 02. Split Wick.flac",streaminfo:182486054634879027592070362459423903579,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Eddie Kendricks - (1972) People... Hold On - 06. My People... Hold On.flac",streaminfo:110459091210498039155843345128983519862,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Efdemin - (2014) Decay Versions Pt. 2 EP - 04. Parallaxis (Traumprinz's Over 2 The End version).flac",streaminfo:137932038767182700849360378377940830062,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Esser - (2009) Braveface - 09. Real Life.flac",streaminfo:314275506270319429062282923918886199873,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Flavien Berger - (2019) radio contre-temps - 10. microsono.flac",streaminfo:58879465929229614357941540880084629385,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Franc Moody - (2018) Dance Moves EP - 03. Pheromones.flac",streaminfo:18558819069362164195971830636969641254,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Franc Moody - (2025) Chewing The Fat - 07. Henges (Interlude).flac",streaminfo:85893113462707734410030540764318098970,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Franc Moody - (2025) Chewing The Fat - 08. Pressure Makes Diamonds.flac",streaminfo:299874634202130964544578882287044917421,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Francis Lung - (2016) Dance 4 Sorrow - 01. Dance 4 Sorrow.flac",streaminfo:248463800808113980010396793962716263311,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Gavin Froome - (2016) Don't Come Home EP - 03. Don't Come Home (The Revenge Instrumental).flac",streaminfo:13578725824608387023445143207888214885,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Gene Dunlap feat. The Ridgeways - (1981) It's Just The Way I Feel - 06. It's Just The Way I Feel.flac",streaminfo:86610526353153634108235831883419628561,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Gheist - (2022) Everything - 01. Everything.flac",streaminfo:30398080437694173569043715929206143455,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Ginuwine - (1996) Ginuwine... The Bachelor - 03. Tell Me Do U Wanna.flac",streaminfo:328415068015451346827580308977728286595,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2017) Glitterbox Mixtape 001 (hosted by Melvo Baptiste) - 03. Love On Hold.flac",streaminfo:127167619903753920903215757424293293855,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2017) Glitterbox Mixtape 001 (hosted by Melvo Baptiste) - 14. Fall For You.flac",streaminfo:145866450249479322176215773333463359712,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2017) Glitterbox Mixtape 002 (hosted by Melvo Baptiste) - 08. Music Is My Way Of Life.flac",streaminfo:305289918058255557497198049798553346111,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2017) Glitterbox Mixtape 002 (hosted by Melvo Baptiste) - 11. He Is The Joy.flac",streaminfo:42004068700997706857796079669011453639,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2020) Glitterbox Radio Episode 004 (presented by Melvo Baptiste) - 02. Finally Ready.flac",streaminfo:14303866813743975192549161703855849871,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2020) Glitterbox Radio Episode 004 (presented by Melvo Baptiste) - 10. This Is House.flac",streaminfo:170084366294953391273703825582759756186,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2020) Glitterbox Radio Episode 004 (presented by Melvo Baptiste) - 11. Testify.flac",streaminfo:176074791694400187579201577765306162758,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2020) Glitterbox Radio Episode 004 (presented by Melvo Baptiste) - 12. Larry's Jam.flac",streaminfo:236986139828285894728115299584500637696,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2020) Glitterbox Radio Episode 004 (presented by Melvo Baptiste) - 17. Jam Hot (Mixed).flac",streaminfo:283194239017667748709057187325031666826,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2020) Glitterbox Radio Episode 004 (presented by Melvo Baptiste) - 18. No Price.flac",streaminfo:305280905888545040897466022330018698296,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2020) Glitterbox Radio Episode 005 (presented by Melvo Baptiste) - 02. Life Is A Dancefloor (feat. Kimberly Davis) [Dr Packer Extended Remix] [Mixed].flac",streaminfo:75827657502524108293361300190564778224,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Glitterbox Radio - (2020) Glitterbox Radio Episode 005 (presented by Melvo Baptiste) - 11. You Can Make It.flac",streaminfo:144284402344834669318983285999085952563,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Gui Boratto - (2007) Chromophobia - 04. Gate 7.flac",streaminfo:327363778249932218028281546072279325910,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Hot Chip - (2012) How Do You Do_ (single) - 05. How Do You Do_ (James Zabiela remix).flac",streaminfo:143463986202527441359698578380026437063,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/I_Cube - (1999) Adore - 01. Adore.flac",streaminfo:227951782285816208364612163049094788405,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Ilmond - (2024) Bye - 01. Rehla.flac",streaminfo:132119491536419097303921822898449143351,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Ilmond - (2024) Ya Kahera - 05. Sawwah.flac",streaminfo:24255658094790535988639444481612760185,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Iman Omari - (2011) Energy EP - 01. Energy.flac",streaminfo:243733578834895143300541944743673841410,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Isaiah Rashad - (2016) The Sun's Tirade - 05. Wat's Wrong (1).flac",streaminfo:150743272777047891179524930483265517023,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/JAWNY - (2025) Control (single) - 01. Control.flac",streaminfo:337610108225270214106634813135994637265,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/John Klemmer - (2005) Finesse-Magnificent Madness - 14. Deja Vu.flac",streaminfo:202274948404922666072074794305258023326,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Johnny Utah - (2018) Johnny Utah - 05. Nvrllyrlly.flac",streaminfo:33375995612154594667474972085733789126,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Josh Baker - (2024) Bass Up To The Top - 01. Bass Up To The Top.flac",streaminfo:39052302285611216814865382739452821499,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/KC Lights - (2020) Girl (single) - 01. Girl.flac",streaminfo:121626700260831504184516410984598154027,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Lowtec - (2008) Workshop 06 - 02. [untitled].flac",streaminfo:174066545921407616479436711695422984228,commune,staging
"/Volumes/COMMUNE/_PROMOTION_STAGING/Luigi Tozzi - (2018) Ecate - 01. Ecate (1).flac",streaminfo:257860815803143213269579844862338116536,commune,staging
