plan_id,tier,action,reason,sha256,path,source_zone,effective_zone,zone_override,keeper_path,keeper_zone,keeper_effective_zone,keeper_valid,group_count
20260120_012300,TIER1,QUARANTINE,Tier1: valid keeper in higher-priority zone (accepted > quarantine),00103b406e7a04e0d1e8150b7dfe6e9cfe9593d89620ddaf0a3af2a39c216dfc,/Volumes/COMMUNE/M/_quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/Mishmash/1/R2/Root/Root/_ARCHIVE/_DEDUPED_DISCARDS/discard_20251222T093455Z/Wolf + Lamb vs. Soul Clap - (2011) DJ-Kicks꞉ Exclusives EP1 EP - 02. Stay Home.flac,quarantine,quarantine,,"/Volumes/COMMUNE/Library_CANONICAL/!K7/(2011) DJ-Kicks: Exclusives EP1 EP [Compilation]/02. Charles Levine, Deniz Kurtel & Gadi Mizrahi - Stay Home.flac",accepted,accepted,True,2
20260120_012300,TIER2,QUARANTINE,Tier2: keeper not provably valid,00324cf25beaf980eb47da4cb807442c27ea342be4ff97b0a7c6e21eeb303a1f,/Volumes/COMMUNE/Library_CANONICAL/Library/2026-01-16_full_integrity_check/Erased Tapes Records/(2024) Erased Tapes 17 [Compilation]/14. Shards - Facta est deserta.flac,suspect,suspect,,/Volumes/COMMUNE/Mishmash/1/R2/_PROMOTION_STAGING/Various Artists - (XXXX) Erased Tapes 17 - 14. Facta est deserta.flac,suspect,suspect,False,2
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),004e553be37974790be19e3faa6c5378bbab9608c506fc93f8a8f13d4a9ce4d5,/Volumes/COMMUNE/Mishmash/2/old/_AAC/FLAC/Barnt - (2023) Connecting the Dots - 16. The Life Of.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/Barnt - (2023) Connecting the Dots - 16. The Life Of.flac,accepted,accepted,True,3
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),004e553be37974790be19e3faa6c5378bbab9608c506fc93f8a8f13d4a9ce4d5,/Volumes/COMMUNE/Mishmash/New Folder With Items/Barnt - (2023) Connecting the Dots - 16. The Life Of.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/Barnt - (2023) Connecting the Dots - 16. The Life Of.flac,accepted,accepted,True,3
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),00691fd5628621de2bd26a626ec4670c70d1fc02399b0345c3a84b2b8319f095,/Volumes/COMMUNE/Mishmash/2/G/Various Artists/(2024) 24 To The Floor - The Best Of Crosstown Rebels 2024/07. Tako Tako.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/07. Tako Tako.flac,accepted,accepted,True,3
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),00691fd5628621de2bd26a626ec4670c70d1fc02399b0345c3a84b2b8319f095,/Volumes/COMMUNE/Mishmash/New Folder With Items/07. Tako Tako.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/07. Tako Tako.flac,accepted,accepted,True,3
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),00a5368b53d83d59fe4db03d6739693699f1970a0bd36fc67d0623b66543cc99,/Volumes/COMMUNE/Mishmash/2/G/Xinobi/(2014) 1975/04. Crime.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/04. Crime.flac,accepted,accepted,True,3
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),00a5368b53d83d59fe4db03d6739693699f1970a0bd36fc67d0623b66543cc99,/Volumes/COMMUNE/Mishmash/New Folder With Items/04. Crime.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/04. Crime.flac,accepted,accepted,True,3
20260120_012300,TIER1,QUARANTINE,Tier1: valid keeper in higher-priority zone (accepted > quarantine),00ab99eb81dae88187745120961d303efe0f6b9bcb5721dd501c7279c20bc376,/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/Library_CANONICAL/Library/R.E.M/(2021) New Adventures in Hi-Fi/08. Bittersweet Me.flac,quarantine,quarantine,,/Volumes/COMMUNE/Wishwash/08. Bittersweet Me.flac 09-55-20-829.flac,accepted,accepted,True,5
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),00ab99eb81dae88187745120961d303efe0f6b9bcb5721dd501c7279c20bc376,/Volumes/COMMUNE/Mishmash/2/C/08. Bittersweet Me.flac 09-55-20-829.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/08. Bittersweet Me.flac 09-55-20-829.flac,accepted,accepted,True,5
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),00ab99eb81dae88187745120961d303efe0f6b9bcb5721dd501c7279c20bc376,/Volumes/COMMUNE/Mishmash/New Folder With Items/08. Bittersweet Me.flac 09-55-20-829.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/08. Bittersweet Me.flac 09-55-20-829.flac,accepted,accepted,True,5
20260120_012300,TIER3,QUARANTINE,Tier3: same zone as keeper (accepted),00ab99eb81dae88187745120961d303efe0f6b9bcb5721dd501c7279c20bc376,/Volumes/COMMUNE/Splishsplash/08. Bittersweet Me.flac 09-55-20-829.flac,accepted,accepted,,/Volumes/COMMUNE/Wishwash/08. Bittersweet Me.flac 09-55-20-829.flac,accepted,accepted,True,5
20260120_012300,TIER1,QUARANTINE,Tier1: valid keeper in higher-priority zone (accepted > quarantine),00c9c9667eace6e12196c46d1ecabffcc89f0cf3f0d5b5722c3f54911d521895,"/Volumes/COMMUNE/M/_quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/Mishmash/2/01_candidates/recovery_unique_20260116/(2000) Stories From the City, Stories From the Sea/PJ Harvey - (2000) Stories From the City, Stories From the Sea - 06. The Whores Hustle and the Hustlers Whore.flac",quarantine,quarantine,,"/Volumes/COMMUNE/Library_CANONICAL/Library/PJ Harvey/(2000) Stories From the City, Stories From the Sea/06. The Whores Hustle and the Hustlers Whore.flac",accepted,accepted,True,2
20260120_012300,TIER1,QUARANTINE,Tier1: valid keeper in higher-priority zone (accepted > quarantine),00c9f6d6adeb2cf3fd642df35b3831a51dc30098e0c1208f13b43ed49be09fe1,/Volumes/COMMUNE/M/_quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/Library_CANONICAL/xtralegroom/541/(2009) De Maxx Long Player 15: Oldskool Edition [Compilation]/06. Tiga - Shoes (Mr Oizo remix).flac,quarantine,quarantine,,"/Volumes/COMMUNE/Library_CANONICAL/Various Artists/(2009) De Maxx Long Player, Vol. 15/06. Shoes (Mr Oizo remix).flac",accepted,accepted,True,2
20260120_012300,TIER1,QUARANTINE,Tier1: valid keeper in higher-priority zone (accepted > quarantine),00e03f0a24eafc69abeab186d3a8b76e935c12d5faf5ab0b969a150a670fe196,/Volumes/COMMUNE/M/_quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/M/_work/quarantine/Volumes/COMMUNE/Library_CANONICAL/xtralegroom/Hed Kandi/(2014) Hed Kandi: Ibiza 2014 [Compilation]/09. Kraak & Smaak feat. Stee Downes - How We Gonna Stop the Time.flac,quarantine,quarantine,,/Volumes/COMMUNE/Library_CANONICAL/Various Artists/(2014) Hed Kandi: Ibiza 2016/09. I Wanna Be (club edit).flac,accepted,accepted,True,2
