path,stream_md5,size_bytes
/Volumes/dotad/MUSIC/DJ T./(2023) That Beat/DJ T. - (2023) That Beat - 01. That Beat.flac.repairing.flac,,45088768
/Volumes/dotad/MUSIC/Purple Disco Machine/(2013) Move or Not EP/Purple Disco Machine - (2013) Move or Not EP - 02. Street Life.flac,,45088768
/Volumes/dotad/MUSIC/Pépite/(2024) Les Années Lumière/Pépite - (2024) Les Années Lumière - 08. Très bleu.flac,,45088768
/Volumes/dotad/MUSIC/Sun Araw/(2010) On Patrol/Sun Araw - (2010) On Patrol - 01. Ma Holo.flac,,45088768
/Volumes/dotad/MUSIC/DJ T./(2023) That Beat/DJ T. - (2023) That Beat - 03. Amsterdam.flac.repairing.flac,,42991616
/Volumes/dotad/MUSIC/Phoenix/(2009) Wolfgang Amadeus Phoenix/Phoenix - (2009) Wolfgang Amadeus Phoenix - 01-02. 1901.flac,,42991616
/Volumes/dotad/MUSIC/Prins Thomas/(2015) Paradise Goulash/Prins Thomas - (2015) Paradise Goulash - 02-09. Riviera.flac,,42991616
/Volumes/dotad/MUSIC/Prins Thomas/(2016) Principe del norte/Prins Thomas - (2016) Principe del norte - 01-01. A1.flac,,42991616
/Volumes/dotad/MUSIC/Steve Lacy/(2019) Apollo XXI/Steve Lacy - (2019) Apollo XXI - 11. N Side.flac,,42991616
/Volumes/dotad/MUSIC/Steve Lacy/(2019) Apollo XXI/Steve Lacy - (2019) Apollo XXI - 12. Outro Freestyle4ever.flac,,42991616
/Volumes/dotad/MUSIC/Steve Lacy/(2020) The Lo-Fis/Steve Lacy - (2020) The Lo-Fis - 01. Atomic Vomit.flac,,42991616
/Volumes/dotad/MUSIC/Taylor Swift/(2022) Midnights/Taylor Swift - (2022) Midnights - 03. Anti-Hero.flac,,42991616
/Volumes/dotad/MUSIC/The Juan MacLean/(2006) Visitations/The Juan MacLean - (2006) Visitations - 02. Tito's Way (Reverso68 remix).flac,,42991616
/Volumes/dotad/MUSIC/The Stranglers/(2001) Black and White/The Stranglers - (2001) Black and White - 14. Walk On By.flac,,42991616
/Volumes/dotad/MUSIC/The Synaptik/(2021) Al Qamar Wal Moheet/The Synaptik - (2021) Al Qamar Wal Moheet - 03. Tol Al Leil 2.flac,,42991616
/Volumes/dotad/MUSIC/The Synaptik/(2021) Al Qamar Wal Moheet/The Synaptik - (2021) Al Qamar Wal Moheet - 09. Sabelek.flac,,42991616
/Volumes/dotad/MUSIC/Various Artists/(2021) Commune | Volume 1/Various Artists - (2021) Commune | Volume 1 - 06. Seige.flac,,42991616
/Volumes/dotad/MUSIC/Zoot Woman/(2010) Just a Friend of Mine EP/Zoot Woman - (2010) Just a Friend of Mine EP - 03. Just a Friend of Mine (The Penelopes remix).flac,,42991616
/Volumes/dotad/MUSIC/DJ T./(2024) City Life (Remixes)/DJ T. - (2024) City Life (Remixes) - 02. City Life (Borneo Remix).flac.repairing.flac,,25690112
/Volumes/dotad/MUSIC/Zoot Woman/(2009) Things Are What They Used to Be/Zoot Woman - (2009) Things Are What They Used to Be - 03. More Than Ever.flac,,25690112
"/Volumes/dotad/MUSIC/George Frideric Handel; Rachel Redmond, Damien Guillon, Nicholas Mulroy, Matthias Winckhler, La Capella Reial de Catalunya, Le Concert des Nations, Manfredo Kraemer, Jordi Savall/(2019) Messiah, HWV 56/George Frideric Handel; Rachel Redmond, Damien Guillon, Nicholas Mulroy, Matthias Winckhler, La Capella Reial de Catalunya, Le Concert des Nations, Manfredo Kraemer, Jordi Savall - (2019) Messiah, HWV 56 - 02-18. The Messiah, HWV 56, Part II: Chorus.flac",,84147712
/Volumes/dotad/MUSIC/Rufus Wainwright/(2023) Folkocracy/Rufus Wainwright - (2023) Folkocracy - 10. Kaulana nā pua.flac,,84147712
/Volumes/dotad/MUSIC/Scala & Kolacny Brothers/(2022) Gloaming/Scala & Kolacny Brothers - (2022) Gloaming - 04. All I Want Is You.flac,,84147712
/Volumes/dotad/MUSIC/Paul McCartney/(1983) Pipes of Peace/Paul McCartney - (1983) Pipes of Peace - 02. Say Say Say.flac,,101711360
