path,reported,decoded,ratio
/Volumes/dotad/Quarantine/D/!!!/(2005) Take Ecstasy With Me  Get Up/!!! - (2005) Take Ecstasy With Me  Get Up - 01. Take Ecstasy With Me (1).flac,461.226667,,
/Volumes/dotad/Quarantine/D/!!!/(2005) Take Ecstasy With Me  Get Up/!!! - (2005) Take Ecstasy With Me  Get Up - 02. Get Up.flac,588.6,,
/Volumes/dotad/Quarantine/D/!!!/(2007) Myth Takes/!!! - (2007) Myth Takes - 01. Myth Takes.flac,143.986667,,
/Volumes/dotad/Quarantine/D/!!!/(2007) Myth Takes/!!! - (2007) Myth Takes - 02. All My Heroes Are Weirdos.flac,184.08,,
/Volumes/dotad/Quarantine/D/!!!/(2007) Myth Takes/!!! - (2007) Myth Takes - 05. Heart of Hearts.flac,362.370612,,
/Volumes/dotad/Quarantine/D/!!!/(2007) Myth Takes/!!! - (2007) Myth Takes - 06. Sweet Life.flac,226.68,,
/Volumes/dotad/Quarantine/D/!!!/(2007) Myth Takes/!!! - (2007) Myth Takes - 07. Yadnus.flac,312.52898,,
/Volumes/dotad/Quarantine/D/!!!/(2007) Myth Takes/!!! - (2007) Myth Takes - 08. Bend Over Beethoven.flac,486.713469,,
/Volumes/dotad/Quarantine/D/!!!/(2007) Myth Takes/!!! - (2007) Myth Takes - 10. Infinifold.flac,311.733333,,
"/Volumes/dotad/Quarantine/D/!!!/(2010) Jamie, My Intentions Are Bass/!!! - (2010) Jamie, My Intentions Are Bass - 01. Jamie, My Intentions Are Bass.flac",306.44,,
/Volumes/dotad/Quarantine/D/!!!/(2013) R!M!X!S/!!! - (2013) R!M!X!S - 02. One GirlOne Boy (Maurice Fulton remix) (1).flac,372.307687,,
/Volumes/dotad/Quarantine/D/!!!/(2013) THR!!!ER/!!! - (2013) THR!!!ER - 01. Even When the Water's Cold.flac,227.066667,,
/Volumes/dotad/Quarantine/D/!!!/(2013) THR!!!ER/!!! - (2013) THR!!!ER - 03. One GirlOne Boy.flac,243.626667,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 02. Sick Ass Moon.flac,261.586893,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 03. Every Little Bit Counts.flac,194.059955,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 04. Freedom! '15.flac,360.687347,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 05. Ooo.flac,224.275805,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 06. All the Way.flac,276.926599,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 07. Til the Money Runs Out.flac,271.895079,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 08. Bam City.flac,205.797596,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 09. Funk (I Got This) (1).flac,281.273175,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 10. Lucy Mongoosey.flac,201.506757,,
/Volumes/dotad/Quarantine/D/!!!/(2015) As If/!!! - (2015) As If - 11. I Feel So Free (Citation Needed).flac,519.634172,,
/Volumes/dotad/Quarantine/D/!!!/(2017) Shake the Shudder/!!! - (2017) Shake the Shudder - 08. Throttle Service.flac,277.532404,,
/Volumes/dotad/Quarantine/D/!!!/(2019) Wallop/!!! - (2019) Wallop - 05. Serbia Drums.flac,219.019342,,
/Volumes/dotad/Quarantine/D/!!!/(2020) I'm Sick of ThisSo We Can Fuck/!!! - (2020) I'm Sick of ThisSo We Can Fuck - 02. So We Can Fuck.flac,296.5,,
/Volumes/dotad/Quarantine/D/!!!/(2021) Fast Car  Man on the Moon/!!! - (2021) Fast Car  Man on the Moon - 01. Fast Car.flac,243.84,,
/Volumes/dotad/Quarantine/D/!!!/(2021) Fast Car  Man on the Moon/!!! - (2021) Fast Car  Man on the Moon - 02. Man on the Moon.flac,221.133333,,
/Volumes/dotad/Quarantine/D/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 01. Normal People.flac,130.466667,,
/Volumes/dotad/Quarantine/D/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 02. A Little Bit (More).flac,190.306667,,
/Volumes/dotad/Quarantine/D/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 04. Un Puente.flac,198.32,,
/Volumes/dotad/Quarantine/D/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 05. Here's What I Need to Know.flac,262.666667,,
/Volumes/dotad/Quarantine/D/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 06. Panama Canal.flac,163.146667,,
/Volumes/dotad/Quarantine/D/!!!/(2022) Let It Be Blue/!!! - (2022) Let It Be Blue - 07. Man on the Moon.flac,221.133333,,
