path,reported,decoded,ratio
/Volumes/dotad/New Folder With Items 2/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 13. You Oughta Know (Jimmy the Saint Blend)  Your House (a cappella).flac,492.216505,,
/Volumes/dotad/New Folder With Items 2/Charles Mingus - (1963) The Black Saint and the Sinner Lady - 04. Mode D - Trio & Group Dancers  Mode E - Single Solos & Group Dance  Mode F - Group & Solo Dance.flac,1114.666667,,
/Volumes/dotad/New Folder With Items 2/Deep Purple - (1988) Made in Japan - 06. Lazy (2).flac,625.664,,
/Volumes/dotad/New Folder With Items 2/John Coltrane - (1989) Live at Birdland - 04. Alabama.flac,311.280714,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (1976) Presence - 01-04. Nobody's Fault but Mine.flac,387.9905,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2007) The Song Remains the Same - 02-01. Dazed and Confused.flac,1757.333333,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2014) Led Zeppelin (deluxe edition) - 01-06. Black Mountain Side.flac,132.587167,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2014) [Led Zeppelin IV] - 01-03. The Battle of Evermore.flac,351.677563,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2014) [Led Zeppelin IV] - 02-01. Black Dog (basic track with guitar overdubs).flac,274.633521,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2014) [Led Zeppelin IV] - 02-02. Rock and Roll (alternate mix).flac,223.173333,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2014) [Led Zeppelin IV] - 02-06. Four Sticks (alternate mix).flac,273.128375,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2015) Coda - 01-08. Wearing and Tearing.flac,327.585104,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2015) Presence - 02-01. Two Ones Are Won (Achilles Last Stand) (reference mix).flac,628.667167,,
/Volumes/dotad/New Folder With Items 2/Led Zeppelin - (2018) How the West Was Won - 03-02. Moby Dick.flac,1147.408,,
/Volumes/dotad/New Folder With Items 2/Marvin Gaye - (1983) What's Going On - 02. God Is Love (1).flac,330.340219,,
/Volumes/dotad/New Folder With Items 2/Miles Davis - (1987) Sorcerer - 05. Limbo.flac,441.825417,,
/Volumes/dotad/New Folder With Items 2/Neil Young with Crazy Horse - (1971) Everybody Knows This Is Nowhere - 04. Down by the River.flac,559.466667,,
/Volumes/dotad/New Folder With Items 2/Neil Young with Crazy Horse - (1971) Everybody Knows This Is Nowhere - 04. Down by the River.repaired.flac,559.466667,,
/Volumes/dotad/New Folder With Items 2/Patti Smith - (2005) Horses - 07. Land: Horses  Land of a Thousand Dances  La Mer (De).flac,566.0,,
/Volumes/dotad/New Folder With Items 2/[000] Led Zeppelin - (2014) [Led Zeppelin IV] - 01-08. When the Levee Breaks.repaired.flac,428.851375,,
