quarantine_path,original_path,status,quarantine_md5,original_md5
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Future Disco/(2020) Future Disco: Poolside Sounds 9/Future Disco - (2020) Future Disco: Poolside Sounds 9 - 02. Contortions (Mixed) (1).flac","/Volumes/dotad/MUSIC/Future Disco/(2020) Future Disco: Poolside Sounds 9/Future Disco - (2020) Future Disco: Poolside Sounds 9 - 02. Contortions (Mixed) (1).flac","MISSING","MD5=9ecfde6977f1bdc26a36f2072879ace4",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/The xx/(2012) Coexist/The xx - (2012) Coexist - 06. Sunset (1).flac","/Volumes/dotad/MUSIC/The xx/(2012) Coexist/The xx - (2012) Coexist - 06. Sunset (1).flac","MISSING","MD5=e86e58c3c144fcc373d58eaac7db4f43",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 04. Bye Bye (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 04. Bye Bye (1).flac","MISSING","MD5=938a0430e627cae92a8845a76b8d2a60",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 01. Fa3el fi Eldawam (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 01. Fa3el fi Eldawam (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 03. Sudani (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 03. Sudani (1).flac","MISSING","MD5=00b4a6dc37af5dccc68b2b79c85f1de8",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (2).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (2).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 07. Habibi (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 07. Habibi (1).flac","MISSING","MD5=1d6e1dbe4f51e267b326bcbf447f3297",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 08. Tendo (Lullaby) (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 08. Tendo (Lullaby) (1).flac","MISSING","MD5=5ea9172856463185314d77a954c9161e",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 05. Turn Around (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 05. Turn Around (1).flac","MISSING","",""
