repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
/Volumes/dotad/ReallyRepaired/Joe Goddard - (2017) Ordinary Madness (RAC mix) (single) - 03. Ordinary Madness (RAC mix) [dub].repaired.flac,Joe Goddard - (2017) Ordinary Madness (RAC mix) (single) - 03. Ordinary Madness (RAC mix) [dub].repaired.flac,True,62527194,62527194,324.735488,324.735488,NA,KEEP_MUSIC (duplicate)
"/Volumes/dotad/ReallyRepaired/Lou Donaldson - (2014) Sweet Lou - 01. You're Welcome, Stop On By.flac","Lou Donaldson - (2014) Sweet Lou - 01. You're Welcome, Stop On By.flac",True,160057990,160057990,236.770458,236.770458,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Soapkills - (2017) Bater - 03. Zizi.repaired.flac,Soapkills - (2017) Bater - 03. Zizi.repaired.flac,False,24676305,,267.961723,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Flight Facilities - (2011) Foreign Language (Remixes) (single) - 07. Feelin.flac,Flight Facilities - (2011) Foreign Language (Remixes) (single) - 07. Feelin.flac,True,40213571,40213571,376.6,376.6,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Octo Octa - (2019) For Lovers - 03. Loops for Healing.flac,Octo Octa - (2019) For Lovers - 03. Loops for Healing.flac,True,57663841,57663841,327.457642,327.457642,NA,KEEP_MUSIC (duplicate)
"/Volumes/dotad/ReallyRepaired/Jan Garbarek, Keith Jarrett, Palle Danielsson, Jon Christensen - (2020) Belonging - 01. Spiral Dance.flac","Jan Garbarek, Keith Jarrett, Palle Danielsson, Jon Christensen - (2020) Belonging - 01. Spiral Dance.flac",True,163887822,163887822,256.301521,256.301521,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Pépite - (2021) Rêve Réalité - 03. Rêve Réalité.flac,Pépite - (2021) Rêve Réalité - 03. Rêve Réalité.flac,True,37518577,37518577,188.333333,188.333333,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2015) Exploding Whale - 02. Fourth of July (PPD remix).flac,Sufjan Stevens - (2015) Exploding Whale - 02. Fourth of July (PPD remix).flac,False,54335746,,302.86093,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Ludwig van Beethoven; Igor Levit - (2019) Complete Piano Sonatas - 04-09. Piano Sonata no. 14 in C-sharp minor, op. 27 no. 2 'Moonlight': I. Adagio sostenuto.flac","Ludwig van Beethoven; Igor Levit - (2019) Complete Piano Sonatas - 04-09. Piano Sonata no. 14 in C-sharp minor, op. 27 no. 2 'Moonlight': I. Adagio sostenuto.flac",True,76040519,76040519,313.525854,313.525854,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Various Artists - (2020) Toolroom House Party Vol. 2 - 01-22. Rise (extended mix).repaired.flac,Various Artists - (2020) Toolroom House Party Vol. 2 - 01-22. Rise (extended mix).repaired.flac,False,76313702,,429.268299,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Grimes - (2020) Miss Anthropocene - 11. We Appreciate Power.flac,Grimes - (2020) Miss Anthropocene - 11. We Appreciate Power.flac,True,78278452,78278452,356.27068,356.27068,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/David Bowie - (1983) Let's Dance - 06. Criminal World.flac,David Bowie - (1983) Let's Dance - 06. Criminal World.flac,True,153789132,153789132,265.007365,265.007365,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/The Futureheads - (2019) Powers - 02. Good Night Out.flac,The Futureheads - (2019) Powers - 02. Good Night Out.flac,False,13083157,,59.26941,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Zoot Woman - (2003) Zoot Woman - 02. Taken It All.flac,Zoot Woman - (2003) Zoot Woman - 02. Taken It All.flac,False,20581021,,189.28,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Namito - (2009) Eleven Remixed - 05. Zorro (Phonique & Tigerskin remix).repaired.flac,Namito - (2009) Eleven Remixed - 05. Zorro (Phonique & Tigerskin remix).repaired.flac,True,49039137,49039137,441.585782,441.585782,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Domino - (2008) Super Eurobeat Presents Domino Special Collection Vol. 1 - 08. Euroboy (extended version).repaired.flac,Domino - (2008) Super Eurobeat Presents Domino Special Collection Vol. 1 - 08. Euroboy (extended version).repaired.flac,True,46638531,46638531,378.559388,378.559388,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/The xx - (2009) Basic Space - 01. Basic Space (Jamie xx Space Bass remix).flac,The xx - (2009) Basic Space - 01. Basic Space (Jamie xx Space Bass remix).flac,False,33483028,,432.586667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Iron & Wine - (2024) Light Verse - 09. Bag of Cats.flac,Iron & Wine - (2024) Light Verse - 09. Bag of Cats.flac,True,71871988,71871988,203.328479,203.328479,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Jack White - (2022) Entering Heaven Alive - 07. A Tree on Fire From Within.flac,Jack White - (2022) Entering Heaven Alive - 07. A Tree on Fire From Within.flac,True,58798032,58798032,179.958188,179.958188,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Various Interprets - (2025) dolly 15YRS - 08. Chasm.flac,Various Interprets - (2025) dolly 15YRS - 08. Chasm.flac,False,74311951,,360.666708,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/VanJess - (2021) Homegrown - 02. Slow Down.flac,VanJess - (2021) Homegrown - 02. Slow Down.flac,False,49594222,,229.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Queen Kwong - (2024) STRANGERS EP - 01. Sympathy For The Devil.flac,Queen Kwong - (2024) STRANGERS EP - 01. Sympathy For The Devil.flac,False,63280419,,272.584563,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yelle - (2007) Pop-up - 05. Mal poli.repaired.flac,Yelle - (2007) Pop-up - 05. Mal poli.repaired.flac,False,20214765,,174.68,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Tonic Walter - (2025) Gone - 01. Gone.flac,Tonic Walter - (2025) Gone - 01. Gone.flac,False,55930658,,310.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/The Felice Brothers - (2024) Valley of Abandoned Songs - 03. New York by Moonlight.flac,The Felice Brothers - (2024) Valley of Abandoned Songs - 03. New York by Moonlight.flac,False,8132683,,40.608,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2018) !Kollections 07: 2018 - 08. Mutant DX.repaired (3).flac,Various Artists - (2018) !Kollections 07: 2018 - 08. Mutant DX.repaired (3).flac,False,2913604,,32.391837,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Gustav Mahler; San Francisco Symphony, Michael Tilson Thomas, Laura Claycomb - (2003) Symphony no. 4 - 02. Symphony no. 4 in G major: II. Im gemächlicher Bewegung. Ohne Hast.flac","Gustav Mahler; San Francisco Symphony, Michael Tilson Thomas, Laura Claycomb - (2003) Symphony no. 4 - 02. Symphony no. 4 in G major: II. Im gemächlicher Bewegung. Ohne Hast.flac",True,167632034,167632034,590.552958,590.552958,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Gorillaz feat. Tame Impala and Bootie Brown - (2022) New Gold (single) - 01. New Gold.flac,Gorillaz feat. Tame Impala and Bootie Brown - (2022) New Gold (single) - 01. New Gold.flac,True,46167851,46167851,215.149773,215.149773,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Nirvana - (2011) Nevermind - 01. Smells Like Teen Spirit.flac,Nirvana - (2011) Nevermind - 01. Smells Like Teen Spirit.flac,True,227138706,227138706,321.195573,321.195573,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Vitalic - (2009) Poison Lips - 04. Poison Lips.repaired.flac,Vitalic - (2009) Poison Lips - 04. Poison Lips.repaired.flac,False,31778572,,234.24,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yaya Bey - (2016) The Many Alter-Egos of Trill'eta Brown EP - 01. A Train (Intro).repaired.flac,Yaya Bey - (2016) The Many Alter-Egos of Trill'eta Brown EP - 01. A Train (Intro).repaired.flac,False,10337499,,84.706395,,NA,COPY->MUSIC
