repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
/Volumes/dotad/ReallyRepaired/Alan Fitzpatrick vs. Patrice Rushen - (2021) Haven't You Heard (single) - 01. Haven't You Heard (Fitzy's Fully Charged Mix).repaired (1).flac,Alan Fitzpatrick vs. Patrice Rushen - (2021) Haven't You Heard (single) - 01. Haven't You Heard (Fitzy's Fully Charged Mix).repaired (1).flac,False,32980987,,159.230771,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Prins Thomas - (2019) Bronchi BeatÆ - 03. Bronchi Beat (Orbe Remix).repaired.flac,Prins Thomas - (2019) Bronchi BeatÆ - 03. Bronchi Beat (Orbe Remix).repaired.flac,False,37033391,,403.66,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Joe Goddard - (2017) Ordinary Madness (RAC mix) (single) - 03. Ordinary Madness (RAC mix) [dub].repaired.flac,Joe Goddard - (2017) Ordinary Madness (RAC mix) (single) - 03. Ordinary Madness (RAC mix) [dub].repaired.flac,False,62527194,,324.735488,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Lou Donaldson - (2014) Sweet Lou - 01. You're Welcome, Stop On By.flac","Lou Donaldson - (2014) Sweet Lou - 01. You're Welcome, Stop On By.flac",False,160057990,,236.770458,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Soapkills - (2017) Bater - 03. Zizi.repaired.flac,Soapkills - (2017) Bater - 03. Zizi.repaired.flac,False,24676305,,267.961723,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Flight Facilities - (2011) Foreign Language (Remixes) (single) - 07. Feelin.flac,Flight Facilities - (2011) Foreign Language (Remixes) (single) - 07. Feelin.flac,False,40213571,,376.6,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Raphael Mader - (2022) The Blinding EP - 01. Blinding.repaired (3).flac,Raphael Mader - (2022) The Blinding EP - 01. Blinding.repaired (3).flac,False,47324849,,373.770522,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2019) Sounds of New Generation - 129. Arrival.repaired (2).flac,Various Artists - (2019) Sounds of New Generation - 129. Arrival.repaired (2).flac,False,54701577,,298.283039,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Octo Octa - (2019) For Lovers - 03. Loops for Healing.flac,Octo Octa - (2019) For Lovers - 03. Loops for Healing.flac,False,57663841,,327.457642,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Jan Garbarek, Keith Jarrett, Palle Danielsson, Jon Christensen - (2020) Belonging - 01. Spiral Dance.flac","Jan Garbarek, Keith Jarrett, Palle Danielsson, Jon Christensen - (2020) Belonging - 01. Spiral Dance.flac",False,163887822,,256.301521,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Pépite - (2021) Rêve Réalité - 03. Rêve Réalité.flac,Pépite - (2021) Rêve Réalité - 03. Rêve Réalité.flac,False,37518577,,188.333333,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Phoenix - (2013) Bankrupt! - 01-10. Oblique City.repaired (2).flac,Phoenix - (2013) Bankrupt! - 01-10. Oblique City.repaired (2).flac,False,44568626,,209.866667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yellow House - (2017) A Carnival of Fears EP - 02. Control.repaired (2).flac,Yellow House - (2017) A Carnival of Fears EP - 02. Control.repaired (2).flac,False,45958455,,226.674195,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2015) Exploding Whale - 02. Fourth of July (PPD remix).flac,Sufjan Stevens - (2015) Exploding Whale - 02. Fourth of July (PPD remix).flac,False,54335746,,302.86093,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Ludwig van Beethoven; Igor Levit - (2019) Complete Piano Sonatas - 04-09. Piano Sonata no. 14 in C-sharp minor, op. 27 no. 2 'Moonlight': I. Adagio sostenuto.flac","Ludwig van Beethoven; Igor Levit - (2019) Complete Piano Sonatas - 04-09. Piano Sonata no. 14 in C-sharp minor, op. 27 no. 2 'Moonlight': I. Adagio sostenuto.flac",False,76040519,,313.525854,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2020) Toolroom House Party Vol. 2 - 01-22. Rise (extended mix).repaired.flac,Various Artists - (2020) Toolroom House Party Vol. 2 - 01-22. Rise (extended mix).repaired.flac,False,76313702,,429.268299,,NA,COPY->MUSIC
