<frozen runpy>:128: RuntimeWarning: 'dedupe.cli' found in sys.modules after import of package 'dedupe', but prior to execution of 'dedupe.cli'; this may result in unpredictable behaviour
2025-11-15 23:10:43,015 DEBUG dedupe.utils: Opening SQLite database at artifacts/db/library.db
2025-11-15 23:10:44,033 DEBUG dedupe.utils: Opening SQLite database at artifacts/db/library.db
2025-11-15 23:11:21,191 INFO dedupe.scanner: Processed 100 files (38.2s elapsed)
2025-11-15 23:11:44,531 INFO dedupe.scanner: Processed 200 files (61.5s elapsed)
2025-11-15 23:12:12,140 INFO dedupe.scanner: Processed 300 files (89.1s elapsed)
2025-11-15 23:12:33,936 INFO dedupe.scanner: Processed 400 files (110.9s elapsed)
2025-11-15 23:12:56,155 INFO dedupe.scanner: Processed 500 files (133.1s elapsed)
2025-11-15 23:13:17,296 INFO dedupe.scanner: Processed 600 files (154.3s elapsed)
2025-11-15 23:13:40,186 INFO dedupe.scanner: Processed 700 files (177.2s elapsed)
2025-11-15 23:14:14,570 INFO dedupe.scanner: Processed 800 files (211.6s elapsed)
2025-11-15 23:14:51,982 INFO dedupe.scanner: Processed 900 files (249.0s elapsed)
